X,Y,Tipologia,Nome [Coordinate] - (Note),Nome
70,14,"TDA, Pirata","Abisot [70,14] - (TDA, Pirata)",Abisot
71,4,Marina,"Bridevi [71,4] - (Marina)",Bridevi
61,7,Nessuna Fazione,"Jeseuafrori [61,7] - (Nessuna Fazione)",Jeseuafrori
71,53,"TDA, Pirata","Calisthenico [71,53] - (TDA, Pirata)",Calisthenico
50,8,Mercante,"Nersacof [50,8] - (Mercante)",Nersacof
42,4,Corsaro,"Basilico [42,4] - (Corsaro)",Basilico
26,62,"TDA, Pirata","Davy Jones [26,62] - (TDA, Pirata)",Davy Jones
34,5,Scogli,"# [34,5] - (Scogli)",#
